team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS
LT,54503,박준우,8.03,11,0,0,1,2,0,1,0.333,64,238,12 1/3,21,3,1,0,0,0,6,0,11,0,0,11,11,1,2.19,0.368,0
LT,55526,벨라스케즈,8.23,11,0,0,1,4,0,0,0.200,168,651,35,47,10,1,7,2,0,18,0,28,1,2,32,32,0,1.86,0.324,1
LT,63512,박진형,8.44,7,0,0,0,0,0,0,-,29,104,5 1/3,9,3,0,1,0,0,3,0,5,0,0,7,5,0,2.25,0.346,0
LT,55503,이영재,9.00,3,0,0,0,0,0,0,-,11,43,2,5,1,0,1,0,0,0,0,2,0,0,2,2,0,2.50,0.500,0
LT,51516,김진욱,10.00,14,0,0,1,3,0,0,0.250,136,544,27,42,6,0,10,2,1,16,0,24,0,0,32,30,2,2.15,0.365,1
LT,60559,박시영,11.05,11,0,0,1,0,0,0,1.000,42,169,7 1/3,9,4,0,0,0,0,9,0,10,0,0,9,9,0,2.45,0.290,0
LT,55568,박세현,14.73,3,0,0,0,0,0,0,-,21,65,3 2/3,8,5,0,1,0,0,1,0,4,0,0,6,6,0,2.45,0.421,0
SS,61365,김대우,0.00,2,0,0,0,0,0,1,-,3,16,2/3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.50,0.333,0
SS,61268,양현,0.00,4,0,0,0,0,0,0,-,15,65,3 1/3,2,0,0,0,0,0,3,0,1,0,0,0,0,1,1.50,0.167,0
SS,63960,이상민,0.00,1,0,0,0,0,0,0,-,5,12,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2.00,0.400,0
SS,63492,이재익,1.23,7,0,0,1,0,0,0,1.000,31,113,7 1/3,8,0,1,0,0,0,2,0,6,1,0,1,1,0,1.36,0.276,0
SS,77446,백정현,1.95,29,0,0,2,0,1,3,1.000,128,505,32 1/3,19,6,0,1,2,2,7,0,31,0,0,7,7,2,0.80,0.165,0
SS,53375,후라도,2.60,30,3,2,15,8,0,0,0.652,786,2921,197 1/3,177,17,3,17,5,1,36,0,142,3,0,65,57,0,1.08,0.239,23
SS,55460,가라비토,2.64,15,0,0,4,4,0,0,0.500,327,1356,78 1/3,56,5,0,6,4,0,37,1,84,2,0,31,23,0,1.19,0.200,4
SS,51460,이재희,3.00,11,0,0,0,2,0,4,0.000,39,157,9,7,1,1,0,0,0,5,0,9,0,0,3,3,0,1.33,0.206,0
SS,69446,원태인,3.24,27,0,0,12,4,0,0,0.750,671,2493,166 2/3,157,32,2,20,11,6,27,1,108,1,0,66,60,0,1.10,0.253,20
SS,68415,양창섭,3.43,33,0,0,3,3,0,2,0.500,276,969,63,67,10,0,3,3,4,19,1,45,4,0,29,24,0,1.37,0.278,0
SS,50464,이승민,3.78,62,0,0,3,2,0,8,0.600,280,1068,64 1/3,61,15,2,5,5,1,26,2,53,1,0,37,27,0,1.35,0.249,0
SS,55455,배찬승,3.91,65,0,0,2,3,0,19,0.400,233,962,50 2/3,50,11,0,3,4,0,34,1,57,5,0,25,22,2,1.66,0.259,0
SS,54443,레예스,4.14,10,0,0,4,3,0,0,0.571,215,844,50,51,7,1,5,3,4,12,0,35,0,0,26,23,0,1.26,0.264,2
SS,62360,김태훈,4.48,73,0,0,2,6,2,19,0.250,287,1122,66 1/3,66,13,0,8,1,3,26,3,74,4,0,34,33,5,1.39,0.259,0
