선수명,팀명,G,AVG,style_code,style_name
하주석,HH,23,0.3,1,스피드형
한두솔,SSG,1,0.0,4,평범형
한석현,NC,32,0.224,3,선구안형
한승택,HT,12,0.222,4,평범형
한유섬,SK,54,0.249,4,평범형
한재환,NC,16,0.185,4,평범형
한준수,HT,37,0.204,1,스피드형
한태양,LT,31,0.385,1,스피드형
함수호,SS,1,0.0,4,평범형
함창건,LG,12,0.2,4,평범형
허경민,KT,34,0.27,3,선구안형
허인서,HH,2,1.0,4,평범형
현원회,SK,7,0.15,4,평범형
홍대인,SSG,6,0.0,4,평범형
홍민규,OB,1,0.0,4,평범형
홍종표,HT,26,0.19,1,스피드형
홍창기,LG,38,0.269,3,선구안형
홍현빈,SS,3,0.0,4,평범형
황대인,HT,6,0.208,4,평범형
황동하,HT,2,0.0,4,평범형
황성빈,LT,28,0.324,3,선구안형
황영묵,HH,51,0.24,3,선구안형
황재균,KT,53,0.311,4,평범형
