team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
SS,62404,구자욱,0.273,79,337,293,56,80,20,0,12,136,52,0,1,1,5,35,4,3,56,5,0.464,0.351,2,0.0,20,0.815,0.321,0.333,1.0,0.722,0.862,0.842,0.515,2
SS,51407,이창용,0.273,7,13,11,2,3,1,0,1,7,2,1,0,0,0,2,0,0,5,0,0.636,0.385,1,100.0,0,1.021,0.25,0.0,1.0,0.519,0.526,0.556,0.515,4
SS,50458,김지찬,0.269,52,221,193,38,52,5,2,0,61,14,14,0,4,2,18,0,4,22,3,0.316,0.341,0,100.0,15,0.657,0.279,0.0,14.0,0.5,0.736,0.736,0.706,2
SS,61404,김헌곤,0.264,40,121,110,17,29,5,0,2,40,6,2,1,2,0,5,0,4,17,4,0.364,0.319,0,66.7,6,0.683,0.115,0.4,3.0,0.537,0.67,0.653,0.544,2
SS,65040,김태훈,0.261,24,48,46,1,12,1,0,1,16,3,1,0,1,0,1,0,0,8,0,0.348,0.277,0,100.0,1,0.625,0.167,0.167,1.0,0.519,0.597,0.584,0.515,4
SS,65586,전병우,0.25,38,67,52,9,13,1,0,1,17,6,0,0,0,0,14,0,1,20,1,0.327,0.418,1,0.0,2,0.745,0.364,0.375,0.0,0.519,0.654,0.723,0.5,4
SS,52430,김영웅,0.239,64,247,226,29,54,10,1,8,90,30,3,2,0,2,18,2,1,78,3,0.398,0.296,7,60.0,12,0.694,0.274,0.0,5.0,0.648,0.754,0.673,0.574,0
SS,52415,이재현,0.239,77,306,247,43,59,12,0,7,92,36,4,0,4,6,41,1,8,66,6,0.372,0.358,13,100.0,12,0.73,0.243,0.5,4.0,0.63,0.833,0.844,0.559,0
SS,66406,안주형,0.214,6,15,14,1,3,0,0,0,3,0,0,1,0,0,1,0,0,4,1,0.214,0.267,1,0.0,0,0.481,0.0,0.0,1.0,0.5,0.521,0.543,0.515,4
SS,75125,박병호,0.214,61,191,159,25,34,4,0,15,83,33,0,0,0,2,25,0,5,55,4,0.522,0.335,1,0.0,9,0.857,0.244,0.0,0.0,0.778,0.739,0.738,0.5,0
SS,68463,윤정빈,0.189,23,43,37,3,7,1,0,0,8,3,0,0,0,2,4,0,0,16,1,0.216,0.256,0,0.0,2,0.472,0.286,0.2,0.0,0.5,0.576,0.57,0.5,4
SS,66409,이성규,0.177,35,80,62,6,11,3,1,2,22,8,2,1,1,2,10,0,5,28,1,0.355,0.329,1,66.7,1,0.684,0.118,0.0,3.0,0.537,0.623,0.634,0.544,4
SS,55438,심재훈,0.172,23,34,29,7,5,0,0,0,5,1,3,1,1,0,4,0,0,10,0,0.172,0.273,0,75.0,2,0.445,0.143,0.0,4.0,0.5,0.579,0.589,0.559,4
SS,65132,김재성,0.125,23,47,40,2,5,1,0,0,6,4,0,0,1,1,3,0,2,17,0,0.15,0.217,0,0.0,1,0.367,0.2,0.0,0.0,0.5,0.569,0.554,0.5,4
