day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.04.19,14:00,LG,11,승,SSG,4,패,문학,-
2025.04.19,17:00,롯데,3,패,삼성,10,승,대구,-
2025.04.19,17:00,KT,11,승,키움,1,패,고척,-
2025.04.19,17:00,NC,2,패,한화,7,승,대전(신),-
2025.04.20,14:00,KIA,6,승,두산,2,패,잠실,-
2025.04.20,14:00,LG,3,패,SSG,9,승,문학,-
2025.04.20,14:00,롯데,4,승,삼성,3,패,대구,-
2025.04.20,14:00,KT,5,승,키움,0,패,고척,-
2025.04.20,14:00,NC,1,패,한화,7,승,대전(신),-
2025.04.22,18:30,NC,6,승,LG,5,패,잠실,-
2025.04.22,18:30,한화,,,롯데,,,사직,우천취소
2025.04.22,18:30,KIA,,,삼성,,,대구,우천취소
2025.04.22,18:30,SSG,3,패,KT,9,승,수원,-
2025.04.22,18:30,두산,4,패,키움,5,승,고척,-
2025.04.23,18:30,NC,0,패,LG,3,승,잠실,-
2025.04.23,18:30,한화,6,승,롯데,4,패,사직,-
2025.04.23,18:30,KIA,2,패,삼성,7,승,대구,-
2025.04.23,18:30,SSG,11,승,KT,5,패,수원,-
2025.04.23,18:30,두산,8,승,키움,2,패,고척,-
2025.04.24,18:30,NC,3,승,LG,1,패,잠실,-
2025.04.24,18:30,한화,3,패,롯데,5,승,사직,-
2025.04.24,18:30,KIA,5,패,삼성,17,승,대구,-
2025.04.24,18:30,SSG,6,승,KT,5,패,수원,-
2025.04.24,18:30,두산,9,승,키움,3,패,고척,-
2025.04.25,18:30,롯데,8,승,두산,2,패,잠실,-
2025.04.25,18:30,키움,3,패,SSG,4,승,문학,-
2025.04.25,18:30,NC,6,패,삼성,10,승,대구,-
2025.04.25,18:30,LG,6,승,KIA,5,패,광주,-
2025.04.25,18:30,KT,2,승,한화,1,패,대전(신),-
2025.04.26,14:00,롯데,7,승,두산,4,패,잠실,-
2025.04.26,14:00,LG,4,패,KIA,8,승,광주,-
2025.04.26,17:00,키움,2,승,SSG,1,패,문학,-
2025.04.26,17:00,NC,1,패,삼성,9,승,대구,-
2025.04.26,17:00,KT,1,패,한화,2,승,대전(신),-
2025.04.27,14:00,롯데,4,패,두산,13,승,잠실,-
2025.04.27,14:00,키움,7,승,SSG,3,패,문학,-
2025.04.27,14:00,NC,4,패,삼성,8,승,대구,-
2025.04.27,14:00,LG,2,패,KIA,3,승,광주,-
2025.04.27,14:00,KT,3,패,한화,4,승,대전(신),-
2025.04.29,18:30,KT,3,승,두산,2,패,잠실,-
2025.04.29,18:30,삼성,3,승,SSG,1,패,문학,-
2025.04.29,18:30,NC,3,패,KIA,13,승,광주,-
2025.04.29,18:30,롯데,9,승,키움,3,패,고척,-
2025.04.29,18:30,LG,2,패,한화,3,승,대전(신),-
2025.04.30,18:30,KT,8,승,두산,3,패,잠실,-
2025.04.30,18:30,삼성,6,무,SSG,6,무,문학,-
2025.04.30,18:30,NC,7,승,KIA,0,패,광주,-
2025.04.30,18:30,롯데,10,승,키움,9,패,고척,-
2025.04.30,18:30,LG,2,패,한화,5,승,대전(신),-
2025.05.01,18:30,KT,3,무,두산,3,무,잠실,-
2025.05.01,18:30,삼성,1,패,SSG,4,승,문학,-
2025.05.01,18:30,NC,,,KIA,,,광주,우천취소
2025.05.01,18:30,롯데,5,승,키움,0,패,고척,-
2025.05.01,18:30,LG,,,한화,,,대전(신),우천취소
2025.05.02,18:30,SSG,2,승,LG,1,패,잠실,-
2025.05.02,18:30,NC,3,패,롯데,4,승,사직,-
2025.05.02,18:30,두산,2,패,삼성,6,승,대구,-
2025.05.02,18:30,키움,5,승,KT,3,패,수원,-
2025.05.02,18:30,한화,3,승,KIA,2,패,광주,-
2025.05.03,14:00,한화,,,KIA,,,광주,-
2025.05.03,17:00,SSG,1,패,LG,4,승,잠실,-
2025.05.03,17:00,NC,13,승,롯데,4,패,사직,-
2025.05.03,17:00,두산,6,승,삼성,1,패,대구,-
2025.05.03,17:00,키움,0,패,KT,9,승,수원,-
2025.05.04,14:00,SSG,4,패,LG,12,승,잠실,-
2025.05.04,14:00,NC,9,승,롯데,6,패,사직,-
2025.05.04,14:00,두산,11,승,삼성,6,패,대구,-
2025.05.04,14:00,키움,4,패,KT,5,승,수원,-
2025.05.04,14:00,한화,3,승,KIA,1,패,광주,-
2025.05.05,14:00,LG,2,패,두산,5,승,잠실,-
