team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
HT,69620,김기훈,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,0.501,0.509,0.5,4
HT,60337,김대유,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,68928,김시훈,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,69516,김현수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,55632,이성원,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,65665,이준영,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,66609,전상현,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,50662,정해영,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,63342,조상우,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,51994,한재승,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
HT,52641,황동하,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.5,,,0.5,3
KT,68504,이호연,0.343,32,75,70,8,24,7,0,1,34,8,0,0,1,0,3,0,1,14,2,0.486,0.378,1,0.0,5,0.864,0.3,0.389,0,0.51,0.6,0.595,0.5,4
KT,52001,안현민,0.334,112,482,395,72,132,19,4,22,225,80,7,1,0,3,75,5,9,72,4,0.57,0.448,8,87.5,38,1.018,0.333,0.0,8,0.72,0.887,0.961,0.563,0
KT,64004,김민혁,0.287,106,417,380,52,109,12,2,0,125,35,11,3,4,1,25,1,7,41,12,0.329,0.341,2,78.6,29,0.67,0.262,0.286,14,0.5,0.84,0.796,0.611,2
KT,79240,허경민,0.283,114,481,420,47,119,18,0,4,149,44,4,1,3,4,39,1,15,35,14,0.355,0.362,10,80.0,33,0.717,0.29,0.0,5,0.54,0.874,0.864,0.54,2
KT,76313,황재균,0.275,112,424,385,50,106,19,0,7,146,48,3,1,1,2,34,1,2,84,2,0.379,0.336,5,75.0,31,0.715,0.403,0.111,4,0.57,0.842,0.783,0.532,2
KT,68050,강백호,0.265,95,369,321,41,85,18,1,15,150,61,2,4,0,1,44,3,3,64,9,0.467,0.358,1,33.3,21,0.825,0.3,0.5,6,0.65,0.789,0.795,0.548,0
KT,69056,박민석,0.263,19,21,19,5,5,1,1,0,8,1,0,1,0,0,2,0,0,4,0,0.421,0.333,2,0.0,1,0.754,0.0,0.0,1,0.5,0.553,0.564,0.508,4
KT,55013,스티븐슨,0.262,39,168,149,26,39,12,0,3,60,14,2,0,1,0,14,0,4,43,2,0.403,0.341,2,100.0,12,0.744,0.258,0.0,2,0.53,0.61,0.603,0.516,4
KT,67644,이정훈,0.258,59,148,132,20,34,4,0,4,50,14,0,1,0,0,13,0,3,48,4,0.379,0.338,1,0.0,6,0.717,0.258,0.286,1,0.54,0.659,0.633,0.508,4
KT,64504,오윤석,0.256,77,184,156,30,40,8,1,0,50,19,0,0,8,1,12,0,7,41,4,0.321,0.335,1,0.0,8,0.656,0.302,0.3,0,0.5,0.719,0.683,0.5,2
KT,79402,김상수,0.254,113,423,355,42,90,14,0,5,119,47,3,1,5,7,52,1,4,57,8,0.335,0.349,8,75.0,20,0.684,0.287,0.25,4,0.55,0.848,0.859,0.532,3
KT,78548,장성우,0.247,129,480,413,44,102,13,0,14,157,58,0,1,2,8,55,1,2,96,13,0.38,0.333,5,0.0,25,0.713,0.191,0.25,1,0.64,0.885,0.853,0.508,2
KT,67025,로하스,0.239,95,384,331,48,79,20,0,14,141,43,1,1,0,4,48,3,1,71,9,0.426,0.333,4,50.0,18,0.759,0.227,0.167,2,0.64,0.779,0.777,0.516,0
KT,67006,안치영,0.227,47,56,44,9,10,1,0,1,14,6,0,2,4,1,4,0,3,13,1,0.318,0.327,0,0.0,1,0.645,0.308,0.0,2,0.51,0.625,0.616,0.516,4
KT,51003,권동진,0.225,123,309,271,34,61,12,3,1,82,25,3,1,6,1,30,0,1,91,8,0.303,0.304,15,75.0,12,0.607,0.27,0.5,4,0.51,0.83,0.751,0.532,3
KT,64007,문상철,0.214,79,209,173,22,37,6,1,5,60,20,1,1,3,3,25,0,5,44,3,0.347,0.325,0,50.0,6,0.672,0.178,0.25,2,0.55,0.716,0.718,0.516,3
KT,66706,장진혁,0.209,86,157,139,19,29,3,1,4,46,19,1,0,4,1,13,0,0,46,1,0.331,0.275,1,100.0,5,0.606,0.184,0.167,1,0.54,0.718,0.653,0.508,3
