team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS,speed,stamina,control,fireball,style
LT,50556,최준용,5.3,49,0,0,4,4,1,17,0.5,234,910,54.333,50,9,1,5,4,2,16,0,62,3,0,35,32,4,1.21,0.243,0,148.0,0.79,0.826,0.967,0
LT,52528,반즈,5.32,8,0,0,3,4,0,0,0.429,204,761,45.667,47,14,2,4,2,1,17,0,38,2,0,31,27,0,1.4,0.258,3,142.0,0.556,0.551,0.928,3
LT,69594,박진,5.32,51,0,0,3,3,1,3,0.5,302,1172,69.333,76,10,3,10,1,4,22,0,50,5,0,42,41,1,1.41,0.277,0,143.0,0.808,0.736,0.935,2
LT,51546,정우준,5.4,3,0,0,0,0,0,0,0.0,16,58,3.333,6,3,0,0,0,0,0,0,3,0,0,2,2,0,1.8,0.4,0,143.0,0.516,0.527,0.935,3
LT,62363,한현희,6.23,3,0,0,0,0,0,1,0.0,41,161,8.667,13,2,0,2,0,0,2,0,8,1,0,6,6,0,1.73,0.342,0,141.0,0.519,0.527,0.922,3
LT,76430,김상수,6.38,45,0,0,0,1,2,3,0.0,180,644,36.667,48,10,0,4,2,4,18,2,27,1,0,26,26,0,1.8,0.314,0,142.0,0.777,0.678,0.928,2
LT,63543,구승민,7.0,11,0,0,0,1,0,1,0.0,45,187,9.0,9,1,1,1,0,0,7,0,10,0,0,10,7,0,1.78,0.243,0,143.0,0.577,0.568,0.935,3
LT,67588,윤성빈,7.67,31,0,0,1,2,0,0,0.333,130,524,27.0,26,7,0,3,0,0,20,1,44,6,0,23,23,0,1.7,0.245,0,153.0,0.707,0.736,1.0,0
LT,54503,박준우,8.03,11,0,0,1,2,0,1,0.333,64,238,12.333,21,3,1,0,0,0,6,0,11,0,0,11,11,1,2.19,0.368,0,144.0,0.573,0.553,0.941,3
LT,55526,벨라스케즈,8.23,11,0,0,1,4,0,0,0.2,168,651,35.0,47,10,1,7,2,0,18,0,28,1,2,32,32,0,1.86,0.324,1,147.0,0.577,0.555,0.961,3
LT,63512,박진형,8.44,7,0,0,0,0,0,0,0.0,29,104,5.333,9,3,0,1,0,0,3,0,5,0,0,7,5,0,2.25,0.346,0,141.0,0.546,0.539,0.922,3
LT,55503,이영재,9.0,3,0,0,0,0,0,0,0.0,11,43,2.0,5,1,0,1,0,0,0,0,2,0,0,2,2,0,2.5,0.5,0,143.0,0.52,0.525,0.935,3
LT,51516,김진욱,10.0,14,0,0,1,3,0,0,0.25,136,544,27.0,42,6,0,10,2,1,16,0,24,0,0,32,30,2,2.15,0.365,1,142.0,0.6,0.564,0.928,3
LT,60559,박시영,11.05,11,0,0,1,0,0,0,1.0,42,169,7.333,9,4,0,0,0,0,9,0,10,0,0,9,9,0,2.45,0.29,0,142.0,0.585,0.563,0.928,3
LT,55568,박세현,14.73,3,0,0,0,0,0,0,0.0,21,65,3.667,8,5,0,1,0,0,1,0,4,0,0,6,6,0,2.45,0.421,0,144.0,0.517,0.525,0.941,3
SS,61365,김대우,0.0,2,0,0,0,0,0,1,0.0,3,16,0.667,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.333,0,129.0,0.513,0.516,0.843,3
SS,61268,양현,0.0,4,0,0,0,0,0,0,0.0,15,65,3.333,2,0,0,0,0,0,3,0,1,0,0,0,0,1,1.5,0.167,0,130.0,0.525,0.521,0.85,3
SS,63960,이상민,0.0,1,0,0,0,0,0,0,0.0,5,12,1.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,0.4,0,136.0,0.502,0.518,0.889,3
SS,63492,이재익,1.23,7,0,0,1,0,0,0,1.0,31,113,7.333,8,0,1,0,0,0,2,0,6,1,0,1,1,0,1.36,0.276,0,142.0,0.536,0.547,0.928,3
SS,77446,백정현,1.95,29,0,0,2,0,1,3,1.0,128,505,32.333,19,6,0,1,2,2,7,0,31,0,0,7,7,2,0.8,0.165,0,139.0,0.659,0.698,0.908,2
SS,53375,후라도,2.6,30,3,2,15,8,0,0,0.652,786,2921,197.333,177,17,3,17,5,1,36,0,142,3,0,65,57,0,1.08,0.239,23,145.0,0.707,0.663,0.948,2
SS,55460,가라비토,2.64,15,0,0,4,4,0,0,0.5,327,1356,78.333,56,5,0,6,4,0,37,1,84,2,0,31,23,0,1.19,0.2,4,149.0,0.608,0.603,0.974,0
SS,51460,이재희,3.0,11,0,0,0,2,0,4,0.0,39,157,9.0,7,1,1,0,0,0,5,0,9,0,0,3,3,0,1.33,0.206,0,145.0,0.565,0.573,0.948,3
SS,69446,원태인,3.24,27,0,0,12,4,0,0,0.75,671,2493,166.667,157,32,2,20,11,6,27,1,108,1,0,66,60,0,1.1,0.253,20,144.0,0.684,0.64,0.941,2
SS,68415,양창섭,3.43,33,0,0,3,3,0,2,0.5,276,969,63.0,67,10,0,3,3,4,19,1,45,4,0,29,24,0,1.37,0.278,0,144.0,0.689,0.659,0.941,2
SS,50464,이승민,3.78,62,0,0,3,2,0,8,0.6,280,1068,64.333,61,15,2,5,5,1,26,2,53,1,0,37,27,0,1.35,0.249,0,141.0,0.864,0.811,0.922,1
SS,55455,배찬승,3.91,65,0,0,2,3,0,19,0.4,233,962,50.667,50,11,0,3,4,0,34,1,57,5,0,25,22,2,1.66,0.259,0,150.0,0.925,0.858,0.98,0
